time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2
59.0;39,63601;20,483618;36,278123;31,09966;52,347537;28,579466;46,586289;29,148444
60.0;39,637399;20,482544;36,307717;31,134136;52,24465;28,630905;46,586289;29,251336
61.0;39,63925;20,484385;36,339316;31,165535;52,347537;28,682344;46,586289;29,19989
62.0;39,63817;20,484385;36,370606;31,195241;52,296093;28,630905;46,637731;29,19989
63.0;39,638788;20,48684;36,43103;31,257885;52,296093;28,579466;46,792058;29,251336
64.0;39,639096;20,487454;36,459855;31,292517;52,296093;28,630905;46,740616;29,251336
65.0;39,640485;20,486994;36,489759;31,329305;52,347537;28,630905;46,689174;29,251336
66.0;39,642336;20,48684;36,516889;31,367939;52,24465;28,528027;46,946385;29,19989
67.0;39,641411;20,489602;36,571149;31,453215;52,296093;28,579466;46,946385;29,302782
68.0;39,641719;20,490062;36,598126;31,496777;52,347537;28,425149;46,894943;29,302782
69.0;39,641719;20,489756;36,624177;31,540185;52,347537;28,528027;47,04927;29,302782
70.0;39,640793;20,489602;36,651617;31,5799;52,296093;28,579466;46,894943;29,302782
71.0;39,640639;20,487761;36,675973;31,621155;52,347537;28,682344;47,100712;29,302782
72.0;39,639405;20,487147;36,722836;31,69289;52,347537;28,630905;47,203597;29,405674
73.0;39,638788;20,485459;36,744572;31,725833;52,296093;28,630905;47,203597;29,354228
74.0;39,638016;20,483618;36,766617;31,755698;52,347537;28,630905;47,357924;29,405674
75.0;39,637245;20,482851;36,787583;31,786332;52,347537;28,528027;47,357924;29,405674
76.0;39,632616;20,482544;36,828435;31,839751;52,450423;28,579466;47,255039;29,45712
77.0;39,632153;20,480243;36,852485;31,864844;52,553309;28,682344;47,357924;29,45712
78.0;39,631536;20,482237;36,875455;31,887475;52,553309;28,630905;47,357924;29,508566
79.0;39,634776;20,483311;36,901046;31,911645;52,604753;28,630905;47,357924;29,560013
80.0;39,63601;20,485766;36,954696;31,952596;52,604753;28,682344;47,357924;29,560013
81.0;39,63817;20,485153;36,984605;31,971993;52,707639;28,630905;47,409366;29,560013
82.0;39,638942;20,488528;37,016827;31,992315;52,656196;28,528027;47,152154;29,560013
83.0;39,638016;20,487761;37,05429;32,012483;52,604753;28,579466;47,255039;29,611459
84.0;39,64033;20,487914;37,096996;32,03142;52,604753;28,630905;47,255039;29,611459
85.0;39,641873;20,488528;37,181331;32,068215;52,553309;28,630905;47,255039;29,611459
86.0;39,640485;20,488068;37,22265;32,08746;52,553309;28,579466;47,04927;29,611459
87.0;39,639713;20,486534;37,260116;32,105011;52,759082;28,579466;47,152154;29,560013
88.0;39,638325;20,48684;37,297737;32,121792;52,553309;28,630905;47,152154;29,611459
89.0;39,637862;20,484692;37,367583;32,15474;52,450423;28,579466;47,100712;29,714351
90.0;39,636627;20,483005;37,402121;32,173369;52,501866;28,630905;47,100712;29,662905
91.0;39,633387;20,482391;37,437122;32,189997;52,501866;28,528027;46,997827;29,662905
92.0;39,631999;20,479936;37,470119;32,208011;52,39898;28,579466;46,894943;29,662905
93.0;39,629376;20,477021;37,529945;32,242652;52,296093;28,630905;46,894943;29,611459
94.0;39,629839;20,4761;37,55878;32,257895;52,450423;28,630905;46,792058;29,662905
95.0;39,627061;20,476253;37,585764;32,274523;52,450423;28,476588;46,689174;29,765797
96.0;39,627524;20,474719;37,611052;32,290998;52,450423;28,579466;46,689174;29,765797
97.0;39,625673;20,473031;37,663634;32,321791;52,450423;28,579466;46,637731;29,765797
98.0;39,623358;20,472878;37,68661;32,335032;52,39898;28,579466;46,586289;29,714351
99.0;39,622741;20,472111;37,712054;32,347966;52,39898;28,579466;46,431962;29,714351
100.0;39,61981;20,470576;37,733179;32,361823;52,604753;28,682344;46,483404;29,868689
101.0;39,620272;20,470576;37,756464;32,374449;52,450423;28,579466;46,38052;30,023027
102.0;39,619501;20,470116;37,798254;32,400316;52,24465;28,579466;46,329077;29,765797
103.0;39,618112;20,471804;37,818609;32,411556;52,347537;28,682344;46,174751;29,765797
104.0;39,618884;20,472571;37,835109;32,424336;52,347537;28,682344;46,226193;29,765797
105.0;39,618421;20,471804;37,855002;32,43573;52,296093;28,579466;46,174751;29,765797
106.0;39,619347;20,473645;37,888003;32,460673;52,347537;28,579466;46,38052;29,817243
107.0;39,61981;20,473645;37,904658;32,471452;52,347537;28,630905;46,226193;29,868689
108.0;39,619347;20,474566;37,921467;32,483154;52,24465;28,528027;46,174751;29,765797
109.0;39,621353;20,475333;37,936734;32,493162;52,39898;28,630905;46,071866;29,714351
110.0;39,618421;20,473952;37,968965;32,515489;52,39898;28,630905;45,968981;29,868689
111.0;39,618884;20,475333;37,987008;32,525343;52,296093;28,528027;46,071866;29,920135
112.0;39,618421;20,474412;38,005668;32,535506;52,347537;28,630905;46,123308;29,868689
113.0;39,617032;20,474259;38,026333;32,546284;52,296093;28,579466;45,968981;29,971581
114.0;39,616878;20,473492;38,063962;32,5643;52,24465;28,579466;45,968981;29,868689
115.0;39,615027;20,472264;38,084319;32,573847;52,24465;28,579466;45,866097;29,817243
116.0;39,614101;20,471037;38,099433;32,583701;52,347537;28,579466;45,866097;29,868689
117.0;39,613792;20,47027;38,116397;32,593556;52,347537;28,528027;45,917539;29,868689
118.0;39,612249;20,47073;38,134441;32,604027;52,296093;28,630905;45,968981;29,971581
119.0;39,612558;20,471037;38,168679;32,623429;52,450423;28,630905;45,866097;30,023027
120.0;39,612404;20,47119;38,184872;32,634053;52,347537;28,682344;45,917539;30,434596
121.0;39,610706;20,470116;38,204459;32,643908;52,296093;28,630905;45,866097;29,868689
122.0;39,610861;20,469656;38,220035;32,655457;52,347537;28,630905;45,917539;29,971581
123.0;39,609472;20,469196;38,251498;32,674243;52,39898;28,682344;45,968981;30,023027
124.0;39,608855;20,469809;38,269388;32,686562;52,347537;28,528027;45,968981;30,023027
125.0;39,609626;20,469809;38,284965;32,695647;52,296093;28,630905;45,917539;29,971581
126.0;39,608701;20,471344;38,299925;32,706426;52,347537;28,682344;45,917539;29,920135
127.0;39,611015;20,470576;38,327995;32,723365;52,193207;28,579466;45,866097;29,971581
128.0;39,611632;20,472724;38,341259;32,732912;52,296093;28,630905;45,71177;30,023027
129.0;39,611941;20,472571;38,353289;32,743075;52,39898;28,630905;45,763212;30,023027
130.0;39,612712;20,472571;38,367016;32,753238;52,24465;28,630905;45,814654;30,023027
131.0;39,612249;20,473645;38,391231;32,772179;52,24465;28,579466;45,71177;30,023027
132.0;39,613329;20,474412;38,402798;32,782958;52,347537;28,682344;45,763212;30,023027
133.0;39,614409;20,473952;38,416062;32,792505;52,347537;28,630905;45,763212;30,074474
134.0;39,613638;20,475486;38,426396;32,802823;52,296093;28,579466;45,814654;30,12592
135.0;39,614255;20,474259;38,438581;32,810676;52,296093;28,630905;45,814654;30,12592
136.0;39,613947;20,473492;38,464801;32,831773;52,39898;28,630905;45,763212;30,12592
137.0;39,613329;20,474566;38,476369;32,841782;52,296093;28,630905;45,71177;30,074474
138.0;39,613484;20,474412;38,488862;32,85133;52,450423;28,630905;45,71177;30,074474
139.0;39,614564;20,47564;38,50151;32,863495;52,501866;28,630905;45,763212;30,12592
140.0;39,614718;20,476253;38,526959;32,883977;52,39898;28,630905;45,814654;30,12592
141.0;39,615644;20,477174;38,538064;32,893678;52,347537;28,630905;45,814654;30,177366
142.0;39,616261;20,476714;38,550249;32,90492;52,450423;28,630905;45,814654;30,12592
143.0;39,616878;20,478402;38,564131;32,915853;52,39898;28,630905;45,763212;30,074474
144.0;39,619192;20,48147;38,584954;32,938029;52,296093;28,579466;45,763212;30,074474
145.0;39,621198;20,482698;38,594208;32,949733;52,347537;28,682344;45,814654;30,074474
146.0;39,621044;20,483158;38,607165;32,961898;52,450423;28,630905;45,814654;30,12592
147.0;39,624284;20,484846;38,616265;32,973756;52,450423;28,579466;45,814654;30,177366
148.0;39,62521;20,486687;38,637397;33,001938;52,347537;28,785223;45,866097;30,12592
149.0;39,625364;20,486227;38,648965;33,01626;52,347537;28,630905;45,968981;30,177366
150.0;39,623975;20,485766;38,659608;33,0332;52,24465;28,630905;46,020424;30,228812
151.0;39,62521;20,48592;38,67349;33,05014;52,450423;28,682344;46,38052;30,228812
152.0;39,624284;20,48592;38,686601;33,069545;52,39898;28,682344;46,329077;30,331704
153.0;39,623821;20,483925;38,732259;33,114976;52,24465;28,476588;46,637731;30,228812
154.0;39,622124;20,483311;38,761721;33,139309;52,296093;28,630905;46,792058;30,177366
155.0;39,621507;20,483925;38,795502;33,162718;52,450423;28,682344;46,894943;30,228812
156.0;39,621661;20,482851;38,829129;33,186897;52,296093;28,528027;47,203597;30,228812
157.0;39,621815;20,484079;38,901629;33,232329;52,347537;28,733783;47,203597;30,280258
158.0;39,62197;20,483005;38,934486;33,256509;52,39898;28,93954;47,71802;30,331704
159.0;39,62197;20,483465;38,969812;33,279457;52,39898;28,630905;47,872347;30,38315
160.0;39,621507;20,483465;39,003595;33,29917;52,347537;28,579466;47,872347;30,280258
161.0;39,622278;20,483925;39,063758;33,343373;52,450423;28,682344;47,975231;30,38315
162.0;39,621661;20,484385;39,093685;33,366167;52,501866;28,630905;47,975231;30,38315
163.0;39,621198;20,483925;39,122687;33,392042;52,39898;28,579466;48,181001;30,331704
164.0;39,62197;20,483158;39,152307;33,418225;52,501866;28,579466;48,592539;30,38315
165.0;39,622587;20,485459;39,180693;33,445486;52,450423;28,579466;48,489654;30,38315
166.0;39,622741;20,486687;39,23947;33,498777;52,39898;28,630905;48,489654;30,331704
167.0;39,624284;20,484692;39,266468;33,522497;52,450423;28,579466;48,438212;30,38315
168.0;39,626444;20,486994;39,291306;33,544676;52,553309;28,528027;48,541097;30,434596
169.0;39,625518;20,487608;39,316299;33,568396;52,450423;28,579466;48,849751;30,38315
170.0;39,628141;20,490216;39,365359;33,612756;52,501866;28,682344;48,746866;30,38315
171.0;39,629376;20,490676;39,390661;33,637863;52,450423;28,630905;49,05552;30,434596
172.0;39,63061;20,491597;39,414112;33,660505;52,347537;28,528027;49,158405;30,434596
173.0;39,632153;20,492824;39,434785;33,683763;52,450423;28,888101;49,158405;30,434596
174.0;39,634004;20,495279;39,474127;33,728125;52,656196;28,682344;49,312731;30,434596
175.0;39,635085;20,495586;39,492642;33,749535;52,553309;28,528027;49,415616;30,486042
176.0;39,636319;20,496507;39,50807;33,767865;52,553309;28,579466;49,621385;30,486042
177.0;39,637553;20,497581;39,523962;33,787582;52,656196;28,682344;49,827155;30,486042
178.0;39,640639;20,50111;39,554047;33,824705;52,553309;28,579466;49,775712;30,588935
179.0;39,642491;20,502337;39,568242;33,841033;52,553309;28,682344;50,032924;30,537488
180.0;39,643108;20,502951;39,584905;33,856899;52,604753;28,682344;50,084366;30,486042
181.0;39,645422;20,504792;39,600797;33,873843;52,501866;28,630905;50,238693;30,588935
182.0;39,647119;20,506173;39,617614;33,891558;52,604753;28,579466;50,39302;30,588935
183.0;39,647119;20,506327;39,65125;33,922982;52,656196;28,682344;50,444462;30,537488
184.0;39,648508;20,506173;39,668222;33,938232;52,553309;28,630905;50,650232;30,640381
185.0;39,646502;20,504946;39,682417;33,95225;52,553309;28,630905;50,598789;30,434596
186.0;39,646656;20,505713;39,697384;33,963957;52,656196;28,682344;50,598789;30,640381
187.0;39,642953;20,501417;39,727008;33,989221;52,450423;28,630905;50,907443;30,640381
188.0;39,640639;20,500956;39,74074;34,00216;52,450423;28,579466;50,907443;30,640381
189.0;39,640176;20,498808;39,75401;34,014946;52,450423;28,682344;51,06177;30,691827
190.0;39,638016;20,49712;39,765582;34,027732;52,501866;28,682344;51,06177;30,640381
191.0;39,635702;20,494512;39,78811;34,050993;52,450423;28,579466;51,06177;30,691827
192.0;39,633387;20,494359;39,801225;34,064241;52,450423;28,630905;51,113212;30,588935
193.0;39,632616;20,492364;39,81218;34,079492;52,450423;28,630905;51,164655;30,588935
194.0;39,631844;20,490676;39,822827;34,094127;52,450423;28,630905;51,421866;30,588935
195.0;39,629067;20,488835;39,847206;34,124475;52,501866;28,682344;51,524751;30,691827
196.0;39,629993;20,487914;39,855384;34,14142;52,450423;28,682344;51,524751;30,691827
197.0;39,627061;20,486994;39,867883;34,155901;52,501866;28,682344;51,576193;30,691827
198.0;39,627216;20,487454;39,876678;34,16838;52,450423;28,682344;51,473308;30,640381
199.0;39,626907;20,485306;39,885165;34,182244;52,553309;28,630905;51,781962;30,743273
200.0;39,624901;20,48592;39,904607;34,208434;52,39898;28,528027;51,936289;30,794719
201.0;39,625056;20,485306;39,911088;34,219372;52,450423;28,630905;51,884847;30,743273
202.0;39,625518;20,485766;39,920963;34,232004;52,450423;28,630905;51,936289;30,794719
203.0;39,624284;20,484692;39,928061;34,242942;52,450423;28,630905;52,347828;30,743273
204.0;39,625981;20,486534;39,946115;34,265589;52,450423;28,630905;52,193501;30,743273
205.0;39,626753;20,487608;39,955836;34,278992;52,656196;28,630905;52,193501;30,743273
206.0;39,627061;20,487761;39,965866;34,292241;52,604753;28,630905;52,244943;30,846165
207.0;39,627216;20,490062;39,976822;34,303949;52,656196;28,630905;52,347828;30,794719
208.0;39,629376;20,490216;40,001048;34,32598;52,656196;28,682344;52,450712;30,794719
209.0;39,629993;20,491137;40,013084;34,335994;52,656196;28,682344;52,450712;30,846165
210.0;39,630147;20,492057;40,024194;34,346778;52,501866;28,630905;52,656482;30,897611
211.0;39,629839;20,49129;40,03407;34,357408;52,604753;28,733783;52,605039;30,846165
212.0;39,629993;20,491904;40,058606;34,376512;52,759082;28,682344;52,553597;30,897611
213.0;39,628913;20,491597;40,070179;34,389453;52,656196;28,476588;52,656482;30,897611
214.0;39,629839;20,491597;40,080826;34,400854;52,759082;28,579466;52,759366;30,897611
215.0;39,629067;20,49129;40,088542;34,409944;52,810526;28,682344;52,810809;30,897611
216.0;39,629839;20,493285;40,098727;34,419804;52,707639;28,579466;52,759366;30,846165
217.0;39,627987;20,493591;40,117553;34,438292;52,707639;28,630905;52,913693;30,846165
218.0;39,627987;20,494052;40,125886;34,446457;52,707639;28,682344;52,810809;30,897611
219.0;39,62953;20,494512;40,136225;34,454315;52,656196;28,425149;52,965135;31,000503
220.0;39,633387;20,49666;40,143786;34,462018;52,707639;28,579466;53,119462;31,000503
221.0;39,632924;20,499575;40,157983;34,475268;52,810526;28,630905;53,06802;30,949057
222.0;39,635547;20,50111;40,16431;34,480968;52,707639;28,682344;53,016578;30,846165
223.0;39,636936;20,502337;40,171872;34,486515;52,656196;28,630905;53,170905;30,949057
224.0;39,638016;20,504025;40,17789;34,492215;52,810526;28,579466;53,170905;30,949057
225.0;39,638788;20,504178;40,186995;34,503;52,707639;28,630905;53,376674;30,949057
226.0;39,638479;20,505099;40,193939;34,507622;52,656196;28,630905;53,325232;31,051949
227.0;39,638942;20,506633;40,201037;34,510857;52,810526;28,682344;53,428116;31,051949
228.0;39,640176;20,507247;40,204278;34,517174;52,759082;28,579466;53,325232;31,000503
229.0;39,639096;20,507707;40,213846;34,525648;52,707639;28,579466;53,325232;31,000503
230.0;39,638016;20,506787;40,219401;34,529346;52,759082;28,630905;53,479559;31,051949
231.0;39,638479;20,507554;40,226346;34,532273;52,759082;28,630905;53,531001;31,051949
232.0;39,638633;20,507094;40,230204;34,536279;52,707639;28,630905;53,531001;31,051949
233.0;39,637245;20,506173;40,235142;34,541055;52,707639;28,682344;53,633885;31,051949
234.0;39,639713;20,504946;40,245481;34,548296;52,604753;28,682344;53,582443;31,000503
235.0;39,638325;20,503872;40,249802;34,551532;52,604753;28,579466;53,633885;31,051949
236.0;39,637553;20,50157;40,256283;34,557078;52,553309;28,579466;53,839655;31,051949
237.0;39,636473;20,50157;40,262611;34,560468;52,604753;28,630905;53,788212;31,000503
238.0;39,634776;20,497274;40,272333;34,569712;52,553309;28,630905;53,839655;31,051949
239.0;39,633233;20,494359;40,276499;34,57418;52,501866;28,630905;53,839655;31,103396
240.0;39,633233;20,493745;40,28437;34,578494;52,604753;28,630905;53,942539;31,103396
241.0;39,630301;20,491904;40,288228;34,583116;52,604753;28,579466;53,891097;31,103396
242.0;39,627216;20,486534;40,298567;34,590666;52,553309;28,630905;53,839655;31,103396
243.0;39,622741;20,483158;40,303351;34,59498;52,604753;28,682344;54,045424;31,000503
244.0;39,621198;20,481777;40,306129;34,598524;52,604753;28,630905;54,045424;31,103396
245.0;39,617958;20,479322;40,311222;34,601451;52,501866;28,579466;54,148309;31,103396
246.0;39,614872;20,4761;40,315234;34,605611;52,450423;28,682344;54,148309;31,154842
247.0;39,611632;20,471957;40,325111;34,613161;52,450423;28,630905;54,096866;31,103396
248.0;39,610861;20,471497;40,329278;34,61655;52,501866;28,579466;54,045424;31,103396
249.0;39,610861;20,470423;40,332827;34,619786;52,501866;28,682344;54,045424;31,103396
250.0;39,609163;20,469963;40,33792;34,623175;52,501866;28,630905;54,096866;31,103396
251.0;39,607929;20,468275;40,347025;34,631033;52,501866;28,630905;54,251193;31,154842
252.0;39,608238;20,468121;40,350266;34,634115;52,501866;28,682344;54,251193;31,206288
253.0;39,605615;20,468121;40,354895;34,636888;52,450423;28,682344;54,199751;31,154842
254.0;39,604226;20,46536;40,358908;34,640124;52,501866;28,630905;54,199751;31,206288
255.0;39,602683;20,465973;40,365852;34,647519;52,450423;28,630905;54,199751;31,206288
256.0;39,60006;20,463212;40,369556;34,649676;52,450423;28,733783;54,199751;31,206288
257.0;39,599752;20,460603;40,373723;34,655069;52,450423;28,630905;54,251193;31,257734
258.0;39,598055;20,46045;40,379433;34,657688;52,450423;28,630905;54,354078;31,257734
259.0;39,594352;20,457688;40,388847;34,664159;52,501866;28,630905;54,508405;31,257734
260.0;39,592654;20,456461;40,392242;34,667549;52,39898;28,630905;54,40552;31,206288
261.0;39,592191;20,454313;40,3961;34,670939;52,501866;28,630905;54,456962;31,30918
262.0;39,589569;20,453545;40,400113;34,673712;52,450423;28,785223;54,456962;31,257734
263.0;39,588488;20,452778;40,40644;34,676948;52,759082;28,630905;54,714174;31,30918
264.0;39,588797;20,452164;40,41678;34,683727;52,39898;28,630905;54,868501;31,30918
265.0;39,588643;20,45063;40,421564;34,688195;52,450423;28,682344;54,868501;31,257734
266.0;39,587563;20,450477;40,426657;34,69328;52,450423;28,630905;54,919943;31,30918
267.0;39,587254;20,448175;40,430207;34,696824;52,39898;28,528027;54,919943;31,206288
268.0;39,584014;20,446027;40,436534;34,706068;52,450423;28,682344;54,919943;31,257734
269.0;39,583243;20,445107;40,439466;34,711461;52,501866;28,579466;55,07427;31,257734
270.0;39,580928;20,442345;40,441781;34,717316;52,450423;28,630905;55,125712;31,30918
271.0;39,579848;20,441271;40,442707;34,72086;52,39898;28,630905;55,07427;31,30918
272.0;39,575837;20,439276;40,447028;34,72841;52,656196;28,682344;55,177155;31,617857
273.0;39,574602;20,436821;40,451504;34,731183;52,604753;28,579466;55,07427;31,360626
274.0;39,573677;20,434827;40,453973;34,734111;52,553309;28,528027;55,280039;31,30918
275.0;39,572751;20,432218;40,456751;34,7375;52,656196;28,630905;55,177155;31,360626
276.0;39,567042;20,43007;40,458912;34,742277;52,604753;28,682344;55,228597;31,412072
277.0;39,564574;20,429303;40,459838;34,744588;52,553309;28,630905;55,280039;31,412072
278.0;39,563648;20,428689;40,461998;34,746283;52,656196;28,733783;55,177155;31,360626
279.0;39,561642;20,426234;40,461227;34,748748;52,656196;28,630905;55,228597;31,30918
280.0;39,561025;20,425007;40,46169;34,751059;52,553309;28,630905;55,280039;31,360626
281.0;39,557939;20,424393;40,468634;34,753525;52,656196;28,630905;55,177155;31,30918
282.0;39,557322;20,422859;40,472338;34,755682;52,656196;28,733783;55,280039;31,30918
283.0;39,555779;20,42378;40,478512;34,756914;52,553309;28,579466;55,280039;31,30918
284.0;39,554853;20,422552;40,482524;34,758455;52,553309;28,682344;55,228597;31,360626
285.0;39,552693;20,420251;40,495642;34,760458;52,604753;28,682344;55,331482;31,30918
286.0;39,549453;20,41887;40,501352;34,760304;52,553309;28,579466;55,177155;31,412072
287.0;39,549762;20,417335;40,506445;34,762615;52,604753;28,630905;55,125712;31,463518
288.0;39,546985;20,415494;40,512619;34,76354;52,656196;28,630905;55,228597;31,412072
289.0;39,542665;20,411198;40,519872;34,7677;52,604753;28,630905;55,177155;31,30918
290.0;39,539425;20,408743;40,524194;34,772631;52,656196;28,630905;55,382924;31,412072
291.0;39,538499;20,40859;40,527898;34,776175;52,604753;28,682344;55,485809;31,463518
292.0;39,535876;20,407669;40,533916;34,780335;52,604753;28,630905;55,485809;31,412072
293.0;39,53495;20,40322;40,539164;34,786652;52,604753;28,630905;55,382924;31,514964
294.0;39,533716;20,404601;40,543331;34,789117;52,604753;28,682344;55,485809;31,514964
295.0;39,534333;20,403066;40,545028;34,792199;52,501866;28,630905;55,640136;31,412072
296.0;39,532944;20,402606;40,545954;34,796513;52,553309;28,579466;55,588693;31,360626
297.0;39,532173;20,401686;40,549658;34,797746;52,656196;28,630905;55,640136;31,463518
298.0;39,532019;20,403373;40,55151;34,801444;52,604753;28,630905;55,691578;31,463518
299.0;39,531864;20,403834;40,550893;34,803139;52,553309;28,528027;55,74302;31,514964
300.0;39,533407;20,402453;40,550584;34,805758;52,656196;28,682344;55,845905;31,514964
301.0;39,533407;20,404908;40,550893;34,808224;52,553309;28,682344;55,691578;31,463518
302.0;39,534796;20,407362;40,550121;34,811613;52,450423;28,579466;55,845905;31,463518
303.0;39,53387;20,407669;40,548269;34,811459;52,501866;28,630905;55,948789;31,412072
304.0;39,536493;20,409664;40,547343;34,813308;52,501866;28,630905;56,000232;31,56641
305.0;39,535259;20,411198;40,547189;34,813616;52,450423;28,630905;56,051674;31,514964
306.0;39,538807;20,412579;40,544874;34,815465;52,39898;28,682344;56,103116;31,56641
307.0;39,53927;20,414574;40,544411;34,81562;52,501866;28,630905;56,000232;31,514964
308.0;39,540813;20,416108;40,541479;34,817006;52,501866;28,630905;56,051674;31,412072
309.0;39,541276;20,415187;40,540553;34,81639;52,501866;28,579466;56,051674;31,412072
310.0;39,542202;20,418103;40,536694;34,820088;52,450423;28,579466;56,103116;31,617857
311.0;39,54035;20,416875;40,533916;34,818393;52,39898;28,579466;56,103116;31,514964
312.0;39,541276;20,418103;40,534534;34,820088;52,450423;28,630905;56,154559;31,56641
313.0;39,541739;20,419177;40,532991;34,819318;52,347537;28,682344;56,103116;31,56641
